broadband_robust_z,classification,confidence,confidence_score,frame_30fps,kick_ratio,low_band_robust_z,snare_band_robust_z,snare_ratio,source,time_ms
6.68,snare,high,0.95,3995,0.231,2.117,7.059,0.769,MIXED_MASTER_ONLY,133180
8.186,snare,high,0.95,4007,0.118,0.928,6.926,0.882,MIXED_MASTER_ONLY,133580
2.608,snare,medium,0.697,4026,0.388,1.563,2.465,0.612,MIXED_MASTER_ONLY,134210
6.762,snare,high,0.95,4031,0.247,2.397,7.296,0.753,MIXED_MASTER_ONLY,134380
6.693,snare,high,0.95,4043,0.23,2.178,7.287,0.77,MIXED_MASTER_ONLY,134780
8.273,snare,high,0.95,4055,0.122,1.042,7.504,0.878,MIXED_MASTER_ONLY,135180
6.46,snare,high,0.95,4073,0.259,2.438,6.992,0.741,MIXED_MASTER_ONLY,135780
2.563,snare,high,0.95,4079,0.0,-0.213,3.057,1.0,MIXED_MASTER_ONLY,135980
7.741,snare,high,0.95,4091,0.238,2.454,7.864,0.762,MIXED_MASTER_ONLY,136380
7.982,snare,high,0.95,4103,0.152,1.198,6.707,0.848,MIXED_MASTER_ONLY,136780
7.413,snare,high,0.95,4127,0.221,2.285,8.079,0.779,MIXED_MASTER_ONLY,137580
7.369,snare,high,0.95,4139,0.235,2.388,7.762,0.765,MIXED_MASTER_ONLY,137980
7.852,snare,high,0.95,4151,0.106,0.856,7.191,0.894,MIXED_MASTER_ONLY,138380
6.848,snare,high,0.95,4169,0.289,2.585,6.344,0.711,MIXED_MASTER_ONLY,138980
7.22,snare,high,0.95,4187,0.222,2.205,7.721,0.778,MIXED_MASTER_ONLY,139580
8.043,snare,high,0.95,4199,0.068,0.511,7.023,0.932,MIXED_MASTER_ONLY,139980
6.949,snare,high,0.95,4223,0.254,2.435,7.144,0.746,MIXED_MASTER_ONLY,140780
6.638,snare,high,0.95,4235,0.246,2.22,6.822,0.754,MIXED_MASTER_ONLY,141180
8.383,snare,high,0.95,4247,0.117,1.032,7.781,0.883,MIXED_MASTER_ONLY,141580
6.671,snare,high,0.95,4265,0.277,2.462,6.418,0.723,MIXED_MASTER_ONLY,142180
7.285,snare,high,0.95,4283,0.26,2.472,7.024,0.74,MIXED_MASTER_ONLY,142780
7.904,snare,high,0.95,4295,0.101,0.789,7.004,0.899,MIXED_MASTER_ONLY,143180
4.192,snare,high,0.95,4307,0.117,0.582,4.401,0.883,MIXED_MASTER_ONLY,143580
6.905,snare,high,0.95,4319,0.232,2.207,7.287,0.768,MIXED_MASTER_ONLY,143980
6.995,snare,high,0.95,4331,0.27,2.509,6.788,0.73,MIXED_MASTER_ONLY,144380
7.866,snare,high,0.95,4343,0.152,1.285,7.176,0.848,MIXED_MASTER_ONLY,144780
6.863,snare,high,0.95,4361,0.28,2.571,6.621,0.72,MIXED_MASTER_ONLY,145380
7.8,snare,high,0.95,4379,0.235,2.509,8.151,0.765,MIXED_MASTER_ONLY,145980
8.579,snare,high,0.95,4391,0.133,1.233,8.018,0.867,MIXED_MASTER_ONLY,146380
2.636,uncertain,low,0.539,4410,0.486,1.664,1.76,0.514,MIXED_MASTER_ONLY,146990
6.981,snare,high,0.95,4415,0.24,2.285,7.241,0.76,MIXED_MASTER_ONLY,147180
7.315,snare,high,0.95,4427,0.256,2.614,7.606,0.744,MIXED_MASTER_ONLY,147580
7.948,snare,high,0.95,4439,0.148,1.209,6.983,0.852,MIXED_MASTER_ONLY,147980
7.073,snare,high,0.95,4457,0.201,1.907,7.603,0.799,MIXED_MASTER_ONLY,148580
7.731,snare,high,0.95,4475,0.252,2.623,7.781,0.748,MIXED_MASTER_ONLY,149180
8.435,snare,high,0.95,4487,0.12,1.048,7.678,0.88,MIXED_MASTER_ONLY,149580
7.295,snare,high,0.95,4511,0.221,2.172,7.67,0.779,MIXED_MASTER_ONLY,150380
3.384,snare,high,0.95,4517,0.0,-1.068,3.087,1.0,MIXED_MASTER_ONLY,150570
7.126,snare,high,0.95,4523,0.266,2.534,6.977,0.734,MIXED_MASTER_ONLY,150780
7.557,snare,high,0.95,4535,0.135,1.06,6.798,0.865,MIXED_MASTER_ONLY,151180
6.906,snare,high,0.95,4553,0.278,2.546,6.626,0.722,MIXED_MASTER_ONLY,151780
7.639,snare,high,0.95,4571,0.247,2.513,7.667,0.753,MIXED_MASTER_ONLY,152380
